datetime,index,site,location,wl_below_surface_m,temperature,salinity,p_h,do_mgl,p_h_orp,peak,d_time,d_do,do_rate,max_do,mean_depth,mean_temp,mean_salinity,mean_ph,hours
2022-04-21T10:30:00Z,136,OWC,TR,-0.01355131976770873,7.1,0.27,7.53,5.46,255.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,33.75
2022-04-21T10:45:00Z,137,OWC,TR,-0.01425439370223269,7.1,0.27,7.53,5.45,256.8,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,34
2022-04-21T11:00:00Z,138,OWC,TR,-0.01636361550580478,7.1,0.27,7.53,5.43,249,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,34.25
2022-04-21T11:15:00Z,139,OWC,TR,-0.01636361550580478,7.1,0.27,7.53,5.42,253.2,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,34.5
2022-04-21T11:30:00Z,140,OWC,TR,-0.01425439370223269,7.1,0.27,7.53,5.42,255.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,34.75
2022-04-21T11:45:00Z,141,OWC,TR,-0.01636361550580478,7.1,0.27,7.53,5.42,257.2,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,35
2022-04-21T12:00:00Z,142,OWC,TR,-0.01776976337485281,7.1,0.27,7.53,5.4,250.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,35.25
2022-04-21T12:15:00Z,143,OWC,TR,-0.01847283730937682,7.1,0.27,7.53,5.39,254.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,35.5
2022-04-21T12:30:00Z,144,OWC,TR,-0.01636361550580478,7.1,0.27,7.53,5.38,256.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,35.75
2022-04-21T12:45:00Z,145,OWC,TR,-0.01847283730937682,7.1,0.27,7.53,5.37,257.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,36
2022-04-21T13:00:00Z,146,OWC,TR,-0.01917591124390089,7.1,0.27,7.53,5.32,249.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,36.25
2022-04-21T13:15:00Z,147,OWC,TR,-0.01776976337485281,7.1,0.27,7.53,5.31,253.4,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,36.5
2022-04-21T13:30:00Z,148,OWC,TR,-0.0198789851784249,7.1,0.27,7.53,5.29,255.9,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,36.75
2022-04-21T13:45:00Z,149,OWC,TR,-0.02128513304747292,7.1,0.27,7.53,5.3,257.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,37
2022-04-21T14:00:00Z,150,OWC,TR,-0.02058205911294891,7.1,0.27,7.52,5.26,250.6,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,37.25
2022-04-21T14:15:00Z,151,OWC,TR,-0.02128513304747292,7.11,0.27,7.52,5.25,254.3,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,37.5
2022-04-21T14:30:00Z,152,OWC,TR,-0.02269128091652089,7.11,0.27,7.52,5.24,256.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,37.75
2022-04-21T14:45:00Z,153,OWC,TR,-0.025503576654617,7.11,0.27,7.52,5.23,258.1,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,38
2022-04-21T15:00:00Z,154,OWC,TR,-0.02409742878556897,7.11,0.27,7.52,5.18,251.5,2,126.25,9.34,0.07398019801980198,9.34,-0.015422941486688626,7.301640316205534,0.26956521739130435,7.3896837944664036,38.25
