"sample_name","ion","amount_ppm","amount_ug_g"
"anoxia_042","Sulfate",NA,NA
"anoxia_043","Sulfate",1.9822,65.59
"anoxia_044","Sulfate",2.0322,67.59
"anoxia_045","Sulfate",1.8978,62.96
"anoxia_046","Sulfate",1.1859,39.21
"anoxia_047","Sulfate",1.3746,45.76
"anoxia_048","Sulfate",1.8745,66.53
"anoxia_049","Sulfate",1.7609,62.44
"anoxia_050","Sulfate",1.759,62.48
"anoxia_051","Sulfate",1.8123,64.21
"anoxia_052","Sulfate",1.741,61.79
"anoxia_053","Sulfate",4.7772,162.77
"anoxia_054","Sulfate",4.472,151.98
"anoxia_055","Sulfate",2.7865,94.54
"anoxia_056","Sulfate",4.432,150.75
"anoxia_057","Sulfate",2.5565,87.71
"anoxia_058","Sulfate",77.4251,2629.18
"anoxia_059","Sulfate",76.6536,2607.45
"anoxia_060","Sulfate",67.309,2291.55
"anoxia_061","Sulfate",73.6143,2508.37
"anoxia_062","Sulfate",69.261,2358.01
"anoxia_063","Sulfate",NA,NA
"anoxia_064","Sulfate",1.8216,60.22
"anoxia_065","Sulfate",2.0219,67.13
"anoxia_066","Sulfate",2.1635,71.83
"anoxia_067","Sulfate",1.7655,58.87
"anoxia_068","Sulfate",1.9165,63.69
"anoxia_069","Sulfate",2.0825,73.78
"anoxia_070","Sulfate",2.0159,71.54
"anoxia_071","Sulfate",2.0113,71.38
"anoxia_072","Sulfate",2.0363,72.2
"anoxia_073","Sulfate",2.063,73.09
"anoxia_074","Sulfate",2.895,99.41
"anoxia_075","Sulfate",2.6391,89.39
"anoxia_076","Sulfate",3.6248,123.51
"anoxia_077","Sulfate",2.6001,88.82
"anoxia_078","Sulfate",2.9369,99.56
"anoxia_079","Sulfate",57.2952,1948.95
"anoxia_080","Sulfate",63.7139,2167.29
"anoxia_081","Sulfate",72.3251,2458.1
"anoxia_082","Sulfate",61.8143,2100.87
"anoxia_083","Sulfate",55.3714,1886.75
"anoxia_084","Sulfate",NA,NA
"anoxia_001","Nitrate",42.0135,1396.17
"anoxia_002","Nitrate",40.6761,1352.89
"anoxia_003","Nitrate",39.7519,1321.02
"anoxia_004","Nitrate",42.5587,1411.86
"anoxia_005","Nitrate",42.2709,1399.92
"anoxia_006","Nitrate",0.5377,19.13
"anoxia_007","Nitrate",0.6191,22.05
"anoxia_008","Nitrate",0.7288,25.91
"anoxia_009","Nitrate",0.6742,23.87
"anoxia_010","Nitrate",0.6331,22.47
"anoxia_011","Nitrate",21.0558,721.12
"anoxia_012","Nitrate",18.9728,648.11
"anoxia_013","Nitrate",15.8183,540.35
"anoxia_014","Nitrate",14.5799,498.48
"anoxia_015","Nitrate",14.5375,494.48
"anoxia_016","Nitrate",NA,NA
"anoxia_017","Nitrate",0.0624,2.12
"anoxia_018","Nitrate",0.0226,0.77
"anoxia_019","Nitrate",0.3344,11.4
"anoxia_020","Nitrate",0.2058,6.98
"anoxia_021","Nitrate",NA,NA
"anoxia_022","Nitrate",44.6086,1476.07
"anoxia_023","Nitrate",45.366,1512.79
"anoxia_024","Nitrate",45.4484,1505.15
"anoxia_025","Nitrate",44.9777,1487.02
"anoxia_026","Nitrate",44.5294,1478.51
"anoxia_027","Nitrate",0.4902,17.34
"anoxia_028","Nitrate",0.4625,16.41
"anoxia_029","Nitrate",0.5562,19.79
"anoxia_030","Nitrate",0.6978,24.7
"anoxia_031","Nitrate",0.66,23.36
"anoxia_032","Nitrate",27.6098,939.93
"anoxia_033","Nitrate",23.4682,799.62
"anoxia_034","Nitrate",22.2408,759.09
"anoxia_035","Nitrate",15.3038,524.13
"anoxia_036","Nitrate",16.8932,576.08
"anoxia_037","Nitrate",0.6861,23.36
"anoxia_038","Nitrate",0.5649,19.27
"anoxia_039","Nitrate",0.0906,3.08
"anoxia_040","Nitrate",0.0985,3.36
"anoxia_041","Nitrate",0.0593,2.03
"anoxia_042","Nitrate",NA,NA
"anoxia_043","Nitrate",45.3157,1499.47
"anoxia_044","Nitrate",45.7083,1520.26
"anoxia_045","Nitrate",41.9751,1392.5
"anoxia_046","Nitrate",26.2968,869.4
"anoxia_047","Nitrate",30.8481,1026.9
"anoxia_048","Nitrate",0.5679,20.15
"anoxia_049","Nitrate",0.5107,18.11
"anoxia_050","Nitrate",0.4461,15.85
"anoxia_051","Nitrate",0.5126,18.16
"anoxia_052","Nitrate",0.4979,17.67
"anoxia_053","Nitrate",12.2229,416.46
"anoxia_054","Nitrate",4.5438,154.42
"anoxia_055","Nitrate",23.7613,806.16
"anoxia_056","Nitrate",10.0952,343.38
"anoxia_057","Nitrate",9.7248,333.63
"anoxia_058","Nitrate",NA,NA
"anoxia_059","Nitrate",NA,NA
"anoxia_060","Nitrate",NA,NA
"anoxia_061","Nitrate",NA,NA
"anoxia_062","Nitrate",NA,NA
"anoxia_063","Nitrate",NA,NA
"anoxia_064","Nitrate",18.5256,612.48
"anoxia_065","Nitrate",19.9494,662.38
"anoxia_066","Nitrate",19.6633,652.88
"anoxia_067","Nitrate",19.052,635.31
"anoxia_068","Nitrate",19.4935,647.8
"anoxia_069","Nitrate",0.1793,6.35
"anoxia_070","Nitrate",0.2282,8.1
"anoxia_071","Nitrate",0.3321,11.79
"anoxia_072","Nitrate",0.2913,10.33
"anoxia_073","Nitrate",0.1923,6.81
"anoxia_074","Nitrate",8.2218,282.31
"anoxia_075","Nitrate",8.9355,302.64
"anoxia_076","Nitrate",12.1342,413.44
"anoxia_077","Nitrate",7.9848,272.76
"anoxia_078","Nitrate",11.4744,388.97
"anoxia_079","Nitrate",0.2069,7.04
"anoxia_080","Nitrate",0.0903,3.07
"anoxia_081","Nitrate",0.1662,5.65
"anoxia_082","Nitrate",0.149,5.06
"anoxia_083","Nitrate",0.1134,3.86
"anoxia_084","Nitrate",NA,NA
"anoxia_001","Phosphate",0.1489,4.95
"anoxia_002","Phosphate",0.1362,4.53
"anoxia_003","Phosphate",0.1125,3.74
"anoxia_004","Phosphate",0.1432,4.75
"anoxia_005","Phosphate",0.1498,4.96
"anoxia_006","Phosphate",NA,NA
"anoxia_007","Phosphate",NA,NA
"anoxia_008","Phosphate",NA,NA
"anoxia_009","Phosphate",NA,NA
"anoxia_010","Phosphate",NA,NA
"anoxia_011","Phosphate",0.2449,8.39
"anoxia_012","Phosphate",0.2001,6.84
"anoxia_013","Phosphate",0.3283,11.21
"anoxia_014","Phosphate",0.2597,8.88
"anoxia_015","Phosphate",0.2972,10.11
"anoxia_016","Phosphate",NA,NA
"anoxia_017","Phosphate",NA,NA
"anoxia_018","Phosphate",NA,NA
"anoxia_019","Phosphate",0.0362,1.23
"anoxia_020","Phosphate",0.032,1.08
"anoxia_021","Phosphate",NA,NA
"anoxia_022","Phosphate",0.2028,6.71
"anoxia_023","Phosphate",0.1959,6.53
"anoxia_024","Phosphate",0.211,6.99
"anoxia_025","Phosphate",0.1704,5.63
"anoxia_026","Phosphate",0.2204,7.32
"anoxia_027","Phosphate",NA,NA
"anoxia_028","Phosphate",NA,NA
"anoxia_029","Phosphate",NA,NA
"anoxia_030","Phosphate",NA,NA
"anoxia_031","Phosphate",NA,NA
"anoxia_032","Phosphate",0.3294,11.21
"anoxia_033","Phosphate",0.4254,14.49
"anoxia_034","Phosphate",0.4497,15.35
"anoxia_035","Phosphate",0.2754,9.43
"anoxia_036","Phosphate",0.3252,11.09
"anoxia_037","Phosphate",0.0389,1.32
"anoxia_038","Phosphate",0.035,1.19
"anoxia_039","Phosphate",NA,NA
"anoxia_040","Phosphate",NA,NA
"anoxia_041","Phosphate",0.0344,1.18
"anoxia_042","Phosphate",NA,NA
"anoxia_043","Phosphate",0.2099,6.95
"anoxia_044","Phosphate",0.2306,7.67
"anoxia_045","Phosphate",0.2045,6.78
"anoxia_046","Phosphate",NA,NA
"anoxia_047","Phosphate",0.1442,4.8
"anoxia_048","Phosphate",NA,NA
"anoxia_049","Phosphate",NA,NA
"anoxia_050","Phosphate",NA,NA
"anoxia_051","Phosphate",NA,NA
"anoxia_052","Phosphate",NA,NA
"anoxia_053","Phosphate",0.2415,8.23
"anoxia_054","Phosphate",0.1849,6.28
"anoxia_055","Phosphate",0.4026,13.66
"anoxia_056","Phosphate",0.2945,10.02
"anoxia_057","Phosphate",0.3389,11.63
"anoxia_058","Phosphate",0.0326,1.11
"anoxia_059","Phosphate",0.0327,1.11
"anoxia_060","Phosphate",0.0379,1.29
"anoxia_061","Phosphate",NA,NA
"anoxia_062","Phosphate",0.0399,1.36
"anoxia_063","Phosphate",NA,NA
"anoxia_064","Phosphate",0.2035,6.73
"anoxia_065","Phosphate",0.1872,6.22
"anoxia_066","Phosphate",0.1499,4.98
"anoxia_067","Phosphate",0.1558,5.2
"anoxia_068","Phosphate",0.2052,6.82
"anoxia_069","Phosphate",NA,NA
"anoxia_070","Phosphate",NA,NA
"anoxia_071","Phosphate",NA,NA
"anoxia_072","Phosphate",NA,NA
"anoxia_073","Phosphate",NA,NA
"anoxia_074","Phosphate",0.421,14.46
"anoxia_075","Phosphate",0.6945,23.52
"anoxia_076","Phosphate",0.5286,18.01
"anoxia_077","Phosphate",0.6168,21.07
"anoxia_078","Phosphate",0.4578,15.52
"anoxia_079","Phosphate",0.064,2.18
"anoxia_080","Phosphate",0.0431,1.47
"anoxia_081","Phosphate",NA,NA
"anoxia_082","Phosphate",0.0706,2.4
"anoxia_083","Phosphate",0.0512,1.74
"anoxia_084","Phosphate",NA,NA
