,Cation Summary Report,,,,,,
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Lithium,Lithium,Lithium,Lithium,Lithium,Lithium
1,DI Water,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
83,58,6.067  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
84,59,6.073  ,0.0005  ,0.00,0.00  ,0.01,0.0056  
85,60,6.070  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
86,61,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
87,62,6.077  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
88,63,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
89,C-200x,6.110  ,0.7280  ,9.56,3.98  ,21.93,0.2635  
90,MQ Blank 3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
91,64,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
92,65,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
93,66,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
94,67,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
95,68,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
96,69,6.080  ,0.0004  ,0.02,0.00  ,0.05,0.0056  
97,70,6.070  ,0.0003  ,0.01,0.00  ,0.03,0.0055  
98,71,6.070  ,0.0003  ,0.01,0.00  ,0.03,0.0055  
99,72,6.080  ,0.0003  ,0.01,0.00  ,0.04,0.0055  
100,73,5.343  ,0.0010  ,0.05,0.00  ,0.03,0.0058  
101,74,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
102,75,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
103,76,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
104,77,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
105,78,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
106,79,6.063  ,0.0002  ,0.00,0.00  ,0.00,0.0055  
107,80,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
108,81,6.067  ,0.0004  ,0.00,0.00  ,0.00,0.0056  
109,82,6.083  ,0.0005  ,0.00,0.00  ,0.01,0.0056  
110,83,6.073  ,0.0004  ,0.00,0.00  ,0.01,0.0056  
111,84,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
112,C-800x,6.090  ,0.1525  ,9.31,0.87  ,20.77,0.0595  
113,MQ Blank 4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
114,SB 1,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
115,SB 2,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
116,SB 3,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
117,SB 4,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
118,IV 10x Cation Std,6.140  ,21.3153  ,35.65,103.06  ,56.41,7.5626  
,Sum:,376.630  ,180.684  ,301.443  ,892.503  ,599.454  ,64.397  
,Average:,6.075  ,2.914  ,4.862  ,14.395  ,9.669  ,1.039  
,Rel.Std.Dev:,1.603 %,246.523 %,189.482 %,243.472 %,165.259 %,245.235 %
,,,,,,,
No. ,Name ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,min,µS*min,%,µS,%,mg/l
,,CD_1,CD_1,CD_1,CD_1,CD_1,CD_1
,,Sodium,Sodium,Sodium,Sodium,Sodium,Sodium
1,DI Water,8.083  ,0.0008  ,7.17,0.00  ,13.41,0.0192  
2,!00x Cation Std,8.097  ,1.3723  ,9.96,6.08  ,18.82,1.9336  
3,DI water,8.077  ,0.0002  ,3.76,0.00  ,14.13,0.0183  
4,1600x,8.093  ,0.0721  ,9.65,0.35  ,17.18,0.1187  
5,800x,8.100  ,0.1539  ,9.72,0.72  ,17.42,0.2328  
6,400x,8.093  ,0.3224  ,9.75,1.46  ,17.76,0.4681  
7,200x,8.093  ,0.7459  ,9.92,3.31  ,18.44,1.0592  
8,20x,8.100  ,7.1486  ,10.35,31.22  ,20.75,9.9962  
9,5x,8.073  ,27.2710  ,10.60,116.88  ,24.32,38.0833  
10,!00x Cation Std,8.100  ,1.3626  ,9.93,6.08  ,18.83,1.9200  
11,DI water,8.080  ,0.0014  ,11.60,0.01  ,21.57,0.0200  
12,!00x Cation Std,8.073  ,1.3718  ,9.97,6.09  ,18.84,1.9328  
13,!00x Cation Std,8.093  ,13.7027  ,10.48,60.00  ,22.32,19.1445  
14,062,8.093  ,1.6677  ,7.67,7.48  ,24.58,2.3459  
15,055,8.093  ,1.5218  ,4.73,6.80  ,13.64,2.1423  
16,043,8.097  ,0.1472  ,1.40,0.70  ,4.12,0.2236  
17,100x Cation Std,8.090  ,1.3733  ,9.97,6.10  ,18.84,1.9349  
18,10x Cation Std,8.100  ,13.7228  ,10.49,60.03  ,22.27,19.1726  
19,IV 10x Cation Std,8.087  ,6.8758  ,11.56,29.96  ,16.36,9.6154  
20,IV 10x Cation Std,8.087  ,6.8946  ,11.57,30.01  ,16.32,9.6417  
21,1,8.100  ,0.2027  ,1.33,0.94  ,4.09,0.3011  
22,2,8.097  ,0.1988  ,1.57,0.93  ,4.37,0.2956  
23,3,8.077  ,0.1776  ,1.46,0.83  ,4.18,0.2660  
24,4,8.090  ,0.2165  ,1.61,1.01  ,4.48,0.3202  
25,5,8.097  ,0.2097  ,1.60,0.98  ,4.55,0.3108  
26,6,8.097  ,0.3731  ,33.79,1.69  ,54.19,0.5388  
27,7,8.090  ,0.3955  ,34.36,1.76  ,54.99,0.5702  
28,8,8.097  ,0.4545  ,39.74,2.07  ,59.80,0.6525  
29,9,8.093  ,0.4541  ,37.92,2.06  ,58.43,0.6519  
30,10,8.100  ,0.4739  ,40.70,2.11  ,59.87,0.6795  
31,11,8.100  ,0.5998  ,5.68,2.71  ,16.01,0.8554  
32,12,8.097  ,0.4982  ,5.28,2.27  ,14.69,0.7135  
33,13,8.090  ,0.4532  ,5.04,2.06  ,13.96,0.6507  
34,14,8.097  ,0.5334  ,4.78,2.42  ,13.56,0.7626  
35,15,8.087  ,0.5042  ,5.17,2.29  ,14.57,0.7218  
36,16,8.090  ,1.4193  ,7.47,6.34  ,23.86,1.9991  
37,17,8.073  ,1.5206  ,7.52,6.82  ,24.15,2.1406  
38,18,8.097  ,1.3617  ,7.73,6.06  ,24.31,1.9188  
39,19,8.093  ,1.3233  ,8.26,5.94  ,25.56,1.8651  
40,20,8.093  ,1.3757  ,8.23,6.17  ,25.54,1.9383  
41,21,8.087  ,0.0101  ,33.05,0.05  ,57.88,0.0321  
42,C-5x,8.103  ,27.3495  ,10.63,117.41  ,24.39,38.1929  
43,MQ Blank 1,8.093  ,0.0007  ,4.22,0.00  ,12.02,0.0191  
44,22,8.093  ,0.2560  ,1.48,1.18  ,4.28,0.3754  
45,23,8.097  ,0.2633  ,1.48,1.22  ,4.28,0.3856  
46,24,8.093  ,0.2720  ,1.53,1.25  ,4.43,0.3977  
47,25,8.080  ,0.2563  ,1.47,1.19  ,4.24,0.3759  
48,26,8.093  ,0.2604  ,1.49,1.21  ,4.31,0.3816  
49,27,8.093  ,0.4197  ,34.67,1.90  ,55.88,0.6039  
50,28,8.097  ,0.4070  ,34.87,1.82  ,55.91,0.5862  
51,29,8.100  ,0.4472  ,34.05,2.01  ,55.13,0.6423  
52,30,8.093  ,0.4484  ,34.64,2.01  ,54.97,0.6440  
53,31,8.097  ,0.4260  ,33.26,1.91  ,53.84,0.6128  
54,32,8.090  ,0.8799  ,4.53,3.95  ,13.05,1.2463  
55,33,8.093  ,0.8904  ,4.98,4.01  ,14.32,1.2609  
56,34,8.097  ,0.9035  ,4.77,4.07  ,13.75,1.2792  
57,35,8.100  ,0.8125  ,3.03,3.67  ,9.88,1.1522  
58,36,8.097  ,0.8154  ,3.62,3.68  ,11.25,1.1562  
59,37,8.097  ,1.8757  ,7.58,8.31  ,24.24,2.6362  
60,IV 10x Cation Std,8.083  ,6.8800  ,11.56,29.93  ,16.38,9.6213  
61,38,8.097  ,1.8544  ,7.07,8.27  ,23.50,2.6065  
62,39,8.077  ,1.8787  ,7.59,8.36  ,24.40,2.6404  
63,40,8.097  ,1.9229  ,7.47,8.56  ,24.26,2.7021  
64,41,8.097  ,1.9573  ,6.70,8.70  ,22.55,2.7501  
65,42,8.100  ,0.0265  ,34.12,0.13  ,57.81,0.0551  
66,C-400x,8.083  ,0.3162  ,9.48,1.46  ,17.60,0.4594  
