,Anion Summary Report,,,,,,,
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride,Fluoride
70,50,1.0000,2.753  ,0.0263  ,3.14,0.30  ,4.12,0.0247  
71,51,1.0000,2.753  ,0.0262  ,3.04,0.31  ,4.06,0.0245  
72,52,1.0000,2.753  ,0.0244  ,2.87,0.32  ,4.31,0.0216  
73,53,1.0000,2.753  ,0.0987  ,1.85,1.23  ,3.22,0.1466  
74,54,1.0000,2.757  ,0.0997  ,2.61,1.29  ,4.58,0.1482  
75,55,1.0000,2.760  ,0.0821  ,1.14,1.04  ,2.08,0.1186  
76,56,1.0000,2.760  ,0.1042  ,2.21,1.26  ,3.68,0.1558  
77,57,1.0000,2.763  ,0.0860  ,2.31,1.07  ,4.10,0.1252  
78,58,1.0000,2.753  ,0.0465  ,0.21,0.60  ,0.33,0.0588  
79,59,1.0000,2.760  ,0.0489  ,0.22,0.61  ,0.34,0.0628  
80,60,1.0000,2.753  ,0.0487  ,0.25,0.60  ,0.38,0.0625  
81,61,1.0000,2.753  ,0.0532  ,0.25,0.64  ,0.37,0.0701  
82,62,1.0000,2.760  ,0.0522  ,0.26,0.63  ,0.39,0.0684  
83,63,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
84,A-200x,1.0000,2.753  ,0.0617  ,6.96,0.81  ,10.75,0.0844  
85,MQ Blank 3,1.0000,2.800  ,0.0054  ,4.84,0.05  ,10.49,n.a.
86,64,1.0000,2.767  ,0.0561  ,0.95,0.58  ,1.50,0.0749  
87,65,1.0000,2.767  ,0.0555  ,0.90,0.58  ,1.44,0.0738  
88,66,1.0000,2.753  ,0.0400  ,0.66,0.48  ,1.21,0.0478  
89,67,1.0000,2.757  ,0.0504  ,0.83,0.52  ,1.33,0.0653  
90,68,1.0000,2.760  ,0.0496  ,0.80,0.51  ,1.24,0.0639  
91,69,1.0000,2.777  ,0.0809  ,7.28,0.80  ,8.36,0.1166  
92,70,1.0000,2.780  ,0.0852  ,7.62,0.84  ,8.73,0.1239  
93,71,1.0000,2.783  ,0.0922  ,8.04,0.88  ,8.90,0.1356  
94,72,1.0000,2.777  ,0.0678  ,6.33,0.66  ,7.23,0.0945  
95,73,1.0000,2.783  ,0.0878  ,7.93,0.86  ,8.95,0.1283  
96,74,1.0000,2.767  ,0.0989  ,2.16,1.04  ,3.47,0.1468  
97,75,1.0000,2.813  ,0.4922  ,9.35,3.14  ,9.31,0.8085  
98,76,1.0000,2.757  ,0.1144  ,2.14,1.08  ,2.99,0.1730  
99,77,1.0000,2.757  ,0.0904  ,2.09,0.95  ,3.43,0.1325  
100,78,1.0000,2.760  ,0.1050  ,1.93,1.09  ,2.97,0.1571  
101,79,1.0000,2.753  ,0.0646  ,0.38,0.77  ,0.55,0.0892  
102,80,1.0000,2.753  ,0.0544  ,0.29,0.70  ,0.45,0.0721  
103,81,1.0000,2.753  ,0.0585  ,0.27,0.75  ,0.44,0.0789  
104,82,1.0000,2.757  ,0.0611  ,0.33,0.63  ,0.42,0.0834  
105,83,1.0000,2.753  ,0.0437  ,0.27,0.56  ,0.42,0.0541  
106,84,1.0000,2.803  ,0.0067  ,7.75,0.08  ,14.09,n.a.
107,A-800x,1.0000,2.757  ,0.0130  ,5.26,0.17  ,8.33,0.0024  
108,MQ Blank 4,1.0000,2.790  ,0.0053  ,5.29,0.05  ,10.60,n.a.
109,SB 1,1.0000,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
110,SB 2,1.0000,2.800  ,0.0038  ,4.77,0.05  ,9.83,n.a.
111,SB 3,1.0000,2.767  ,0.0003  ,0.37,0.00  ,0.89,n.a.
112,SB 4,1.0000,2.777  ,0.0003  ,0.39,0.00  ,0.86,n.a.
113,5 ppm F/10 ppm Anion  Std,1.0000,2.763  ,2.9198  ,17.16,32.46  ,21.16,4.8930  
,Sum:,,301.187  ,28.261  ,370.313  ,315.610  ,522.438  ,45.535  
,Average:,,2.763  ,0.259  ,3.397  ,2.896  ,4.793  ,0.455  
,Rel.Std.Dev:,,0.483 %,280.367 %,126.854 %,278.720 %,115.687 %,278.959 %
,,,,,,,,
No. ,Name ,Dilution ,Time ,Area ,Rel.Area ,Height ,Rel.Height ,Amount 
,,,min,µS*min,%,µS,%,ppm
,,,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total,CD_1_Total
,,,Chloride,Chloride,Chloride,Chloride,Chloride,Chloride
1,DI Water,1.0000,3.797  ,0.0007  ,2.10,0.01  ,3.25,n.a.
